"last_name, first_name",player_id,year,xba,xslg,xwoba,k_percent,bb_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,groundballs_percent,flyballs_percent
"Kelly, Merrill",518876,2026,0.311,0.599,0.414,14.3,9.7,16.5,44.8,23.5,36.6,29.9
"Leiter, Jack",683004,2026,0.248,0.425,0.334,24.5,10.0,11.1,40.7,25.6,38.7,32.2
"Bibee, Tanner",676440,2026,0.259,0.448,0.333,19.9,7.6,9.6,45.4,26.5,38.4,27.5
"Taillon, Jameson",592791,2026,0.253,0.518,0.357,20.6,8.0,14.3,38.4,26.4,35.0,37.9
"Corbin, Patrick",571578,2026,0.291,0.472,0.365,15.9,7.9,8.1,43.9,20.4,41.2,23.5
"Soriano, José",667755,2026,0.235,0.38,0.321,25.5,11.7,9.0,37.0,33.2,52.1,25.1
"Singer, Brady",663903,2026,0.291,0.537,0.383,16.3,7.4,12.9,43.3,22.6,41.2,27.3
"May, Dustin",669160,2026,0.245,0.375,0.306,21.5,6.8,6.7,49.0,21.3,44.8,21.1
"Kay, Anthony",641743,2026,0.282,0.465,0.372,16.5,9.3,10.3,41.6,20.2,44.2,22.3
"Woo, Bryan",693433,2026,0.226,0.359,0.272,24.5,4.6,6.5,44.2,24.5,36.7,31.6
"Castillo, Luis",622491,2026,0.265,0.448,0.344,22.5,8.5,11.0,47.3,25.4,38.5,28.0
"Lambert, Peter",663567,2026,0.228,0.359,0.314,22.0,11.7,5.8,41.3,26.3,42.8,29.7
"King, Michael",650633,2026,0.237,0.405,0.323,23.3,9.8,10.4,35.4,27.5,48.4,24.0
"Arrighetti, Spencer",681293,2026,0.236,0.373,0.34,21.8,12.8,6.0,29.5,25.6,40.3,30.2
"Imanaga, Shota",684007,2026,0.232,0.427,0.31,24.0,6.2,11.3,41.5,30.3,39.2,33.5
"Irvin, Jake",663623,2026,0.248,0.457,0.349,25.4,9.6,12.0,45.8,25.7,40.1,30.3
"Soroka, Michael",647336,2026,0.253,0.404,0.311,23.5,5.6,8.0,33.3,22.1,39.0,27.2
"Junk, Janson",676083,2026,0.256,0.411,0.31,16.9,5.1,6.6,41.6,18.0,45.2,23.9
"Flaherty, Jack",656427,2026,0.245,0.41,0.334,26.3,11.3,9.0,48.3,26.8,33.1,28.1
"Lorenzen, Michael",547179,2026,0.315,0.502,0.379,15.9,7.3,9.7,46.5,20.2,45.2,22.8
"Holmes, Clay",605280,2026,0.251,0.366,0.306,20.9,8.4,5.3,44.0,21.9,55.3,22.0
"Ray, Robbie",592662,2026,0.238,0.468,0.35,21.7,12.4,11.6,36.6,25.8,33.0,37.2
"Baz, Shane",669358,2026,0.263,0.431,0.333,19.9,9.1,9.1,41.2,20.6,37.3,24.9
"Wrobleski, Justin",680736,2026,0.258,0.411,0.31,16.1,5.1,7.0,42.5,17.2,37.9,31.8
"Rocker, Kumar",677958,2026,0.261,0.421,0.335,18.7,9.9,8.2,42.2,22.5,48.1,22.2
"Sheehan, Emmet",686218,2026,0.237,0.407,0.307,25.8,6.5,9.7,37.6,29.9,37.6,29.1
"Brown, Ben",676962,2026,0.209,0.308,0.266,26.4,7.3,6.3,42.4,27.6,48.6,22.2
"Peterson, David",656849,2026,0.265,0.382,0.329,21.1,9.0,5.5,42.6,23.1,51.9,16.4
"Gausman, Kevin",592332,2026,0.241,0.396,0.294,24.3,4.3,8.3,37.7,27.0,40.7,24.2
"Hancock, Emerson",676106,2026,0.252,0.45,0.327,25.0,5.8,10.7,44.9,23.5,41.4,29.8
"Bradley, Taj",671737,2026,0.24,0.396,0.319,26.8,10.0,9.2,44.8,28.0,35.0,27.6
"Houser, Adrian",605288,2026,0.281,0.473,0.36,14.4,8.6,9.0,44.1,18.3,45.0,22.3
"Pérez, Eury",691587,2026,0.232,0.46,0.346,27.2,10.6,15.0,42.5,29.1,33.8,30.0
"Lopez, Jacob",682052,2026,0.231,0.357,0.311,15.6,13.6,4.7,31.4,19.4,33.1,31.4
"Elder, Bryce",693821,2026,0.224,0.331,0.275,20.8,7.3,3.7,38.9,23.0,45.9,26.6
"Rea, Colin",607067,2026,0.277,0.489,0.359,18.7,7.9,12.4,45.3,21.9,46.8,26.4
"Webb, Logan",657277,2026,0.26,0.381,0.312,20.9,6.8,6.2,46.4,21.0,58.2,14.8
"Fedde, Erick",607200,2026,0.252,0.432,0.332,14.2,9.4,8.4,39.8,15.9,36.6,30.9
"Rogers, Trevor",669432,2026,0.264,0.424,0.328,16.9,7.9,7.2,38.7,22.4,37.0,22.1
"Pallante, Andre",669467,2026,0.236,0.385,0.309,18.6,8.4,6.7,35.7,23.0,51.5,22.4
"Gray, Sonny",543243,2026,0.271,0.429,0.333,18.9,6.9,8.5,35.9,21.7,48.2,19.4
"Williams, Gavin",668909,2026,0.244,0.447,0.329,28.7,8.1,12.9,48.6,30.5,46.8,23.1
"McGreevy, Michael",700241,2026,0.286,0.506,0.359,17.2,6.0,10.1,40.6,19.9,45.7,26.0
"Montero, Keider",672456,2026,0.235,0.416,0.307,16.7,6.1,9.5,41.1,16.7,35.6,29.2
"Bubic, Kris",663460,2026,0.24,0.395,0.328,24.6,12.6,7.8,39.5,26.1,45.7,27.9
"Springs, Jeffrey",605488,2026,0.245,0.429,0.322,19.7,7.2,9.5,36.6,21.9,36.2,31.5
"Nelson, Ryne",669194,2026,0.252,0.496,0.343,18.1,6.9,10.7,41.8,21.5,31.1,40.0
"Vásquez, Randy",681190,2026,0.301,0.549,0.389,18.2,6.9,13.5,47.0,21.9,35.3,30.2
"Warren, Will",701542,2026,0.231,0.363,0.292,25.8,7.2,6.8,39.6,23.3,43.8,27.6
"Bello, Brayan",678394,2026,0.307,0.513,0.377,15.6,8.5,9.9,44.1,24.5,50.7,23.5
"Early, Connelly",813349,2026,0.241,0.437,0.333,23.0,9.0,11.6,42.9,23.1,40.9,32.3
"Buehler, Walker",621111,2026,0.28,0.427,0.34,19.9,8.3,8.0,41.0,19.0,47.3,19.1
"Sale, Chris",519242,2026,0.228,0.347,0.289,29.3,6.5,6.6,30.2,29.8,44.5,24.2
"Cameron, Noah",702070,2026,0.254,0.424,0.313,22.9,6.2,9.3,41.0,24.3,39.0,25.6
"Ober, Bailey",641927,2026,0.245,0.446,0.323,16.4,6.4,9.8,32.7,19.6,34.1,31.3
"Lugo, Seth",607625,2026,0.28,0.487,0.355,19.9,7.5,11.2,41.4,18.1,37.5,31.0
"Peralta, Freddy",642547,2026,0.237,0.37,0.307,23.9,9.7,5.9,40.9,28.1,43.3,25.6
"Keller, Mitch",656605,2026,0.278,0.418,0.333,18.0,7.5,6.8,39.0,20.9,39.9,21.1
"Burke, Sean",680732,2026,0.238,0.37,0.303,23.0,7.9,6.6,36.2,21.4,36.7,28.1
"Chandler, Bubba",696149,2026,0.226,0.392,0.324,22.2,14.3,8.0,35.4,24.2,33.7,30.9
"Ginn, J.T.",669372,2026,0.228,0.364,0.306,22.9,10.3,6.4,36.3,27.0,48.0,24.0
"Harrison, Kyle",690986,2026,0.234,0.346,0.288,31.3,7.3,6.8,31.8,29.5,35.1,27.7
"Cabrera, Edward",665795,2026,0.262,0.442,0.336,21.5,8.5,12.9,40.9,27.6,45.6,24.0
"Valdez, Framber",664285,2026,0.257,0.41,0.328,18.6,8.5,6.7,42.7,21.6,49.3,25.3
"Painter, Andrew",691725,2026,0.27,0.457,0.342,18.0,7.3,8.9,34.9,22.0,38.5,29.2
"McLean, Nolan",690997,2026,0.215,0.336,0.29,27.4,9.0,6.6,35.7,24.4,45.6,23.6
"Ryan, Joe",657746,2026,0.21,0.362,0.278,27.3,5.2,10.8,42.9,25.0,36.9,31.0
"Liberatore, Matthew",669461,2026,0.283,0.467,0.354,21.1,9.0,9.4,44.1,22.4,40.1,29.7
"Skenes, Paul",694973,2026,0.193,0.298,0.241,29.5,4.7,3.9,33.1,26.0,44.9,20.2
"Cantillo, Joey",676282,2026,0.24,0.412,0.331,21.6,12.4,9.4,37.7,26.8,42.4,33.0
"Littell, Zack",641793,2026,0.281,0.518,0.373,14.0,7.2,10.6,45.2,16.2,35.9,36.9
"Schlittler, Cam",693645,2026,0.219,0.345,0.263,28.1,4.4,7.0,41.3,27.5,44.6,27.2
"Gore, MacKenzie",669022,2026,0.241,0.39,0.318,24.7,10.6,8.8,42.5,24.8,37.0,26.0
"Ashcraft, Braxton",677952,2026,0.218,0.332,0.273,26.7,5.3,5.7,38.5,27.8,46.9,25.8
"Sproat, Brandon",687075,2026,0.261,0.454,0.361,22.5,12.1,9.9,43.4,23.7,42.8,30.3
"Roupp, Landen",694738,2026,0.231,0.318,0.288,26.3,10.2,3.3,30.4,26.3,52.2,18.5
"Gallen, Zac",668678,2026,0.298,0.486,0.361,15.0,7.0,10.0,44.8,18.7,48.9,26.7
"deGrom, Jacob",594798,2026,0.235,0.423,0.301,29.8,5.3,10.4,44.8,33.4,30.6,31.7
"Ohtani, Shohei",660271,2026,0.186,0.268,0.245,28.8,7.7,3.5,37.5,31.3,52.8,20.8
